key,title,venue,year,official,source
DBLP:conf/nips/SunSZZCCYG23,Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision,NeurIPS 2023,2023,True,https://openreview.net/forum?id=zIC9C8F8W7
luo-etal-2024-amr,AMR-Evol: Adaptive Modular Response Evolution Elicits Better Knowledge Distillation for Large Language Models in Code Generation,EMNLP,2024,True,acl_anthology
Yan20253cmath,S^3cMath: Spontaneous Step-Level Self-Correction Makes Large Language Models Better Mathematical Reasoners,AAAI,2025,True,meta
pattnaik-etal-2024-enhancing,Enhancing Alignment using Curriculum Learning &amp; Ranked Preferences,Findings of EMNLP,2024,True,acl_anthology
zhan2026exgrpo,ExGRPO: Learning to Reason from Prior Successes,ICLR,2026,True,openreview
yan-etal-2025-towards,Towards Efficient CoT Distillation: Self-Guided Rationale Selector for Better Performance with Fewer Rationales,Findings of EMNLP,2025,True,acl_anthology
Qiu_2025_CVPR,STEP: Enhancing Video-LLMs&#039; Compositional Reasoning by Spatio-Temporal Graph-guided Self-Training,CVPR,2025,True,cvf
wang-etal-2026-gui0,GUI0: Self-Evolving Foundational GUI Agents in Super App Ecosystems,ACL,2026,True,acl_anthology
kim-etal-2024-auto,Auto-Intent: Automated Intent Discovery and Self-Exploration for Large Language Model Web Agents,Findings of EMNLP,2024,True,acl_anthology
zhang-etal-2025-evolvesearch,EvolveSearch: An Iterative Self-Evolving Search Agent,EMNLP,2025,True,acl_anthology
liu2026spiral,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,ICLR,2026,True,openreview
chen2026learn,Learn from Your Mistakes: Tree-like Self-Play for Secure Code LLMs,ICML,2026,True,openreview
zhang-etal-2026-agentv,AgentV-RL: Scaling Reward Modeling with Agentic Verifier,Findings of ACL,2026,True,acl_anthology
chan-etal-2025-boosting,Boosting Policy and Process Reward Models with Monte Carlo Tree Search in Open-Domain QA,Findings of ACL,2025,True,acl_anthology
hu-etal-2024-serts,SeRTS: Self-Rewarding Tree Search for Biomedical Retrieval-Augmented Generation,Findings of EMNLP,2024,True,acl_anthology
asai2024selfrag,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",ICLR 2024 oral,2024,True,https://openreview.net/forum?id=hSyW5go0v8
ziakas2026vita,VITA: Zero-Shot Value Functions via Test-Time Adaptation of Vision–Language Models,ICLR,2026,True,openreview
Han2026uncertainty,Uncertainty-Based Methods for Automated Process Reward Data Construction and Output Aggregation in Mathematical Reasoning,AAAI,2026,True,meta
ma2024eureka,Eureka: Human-Level Reward Design via Coding Large Language Models,ICLR 2024 poster,2024,True,https://openreview.net/forum?id=IEduRUO55F
DBLP:conf/iclr/ZhouMHPPCB23,Large Language Models are Human-Level Prompt Engineers,ICLR 2023,2023,True,https://openreview.net/forum?id=YVozFftExy
yang2024large,Large Language Models as Optimizers,ICLR 2024 poster,2024,True,https://openreview.net/forum?id=Bb4VGOWELI
guo2024connecting,Connecting Large Language Models with Evolutionary Algorithms Yields Powerful Prompt Optimizers,ICLR 2024 poster,2024,True,https://openreview.net/forum?id=ZG3RaNIsO8
wan-etal-2023-universal,Universal Self-Adaptive Prompting,EMNLP,2023,True,acl_anthology
li-etal-2026-learning,Learning from Contrastive Prompts: An Automated Prompt Optimization Framework,Findings of ACL,2026,True,acl_anthology
singla-etal-2024-dynamic,Dynamic Rewarding with Prompt Optimization Enables Tuning-free Self-Alignment of Language Models,EMNLP,2024,True,acl_anthology
zhao2025pareto,Pareto Prompt Optimization,ICLR,2025,True,openreview
khattab2024dspy,DSPy: Compiling Declarative Language Model Calls into State-of-the-Art Pipelines,ICLR 2024 spotlight,2024,True,https://openreview.net/forum?id=sY5N0zY5Od
gao2024strategyllm,"StrategyLLM: Large Language Models as Strategy Generators, Executors, Optimizers, and Evaluators for Problem Solving",NeurIPS,2024,True,openreview
liu-etal-2026-adaptive,Adaptive Prompt Structure Factorization: A Framework for Self-Discovering and Optimizing Compositional Prompt Programs,ACL,2026,True,acl_anthology
Yang2026raas,RAAS: LLM Agentic System Architecture Search with GRPO,CVPR,2026,True,meta
wei2026evomas,EvoMAS: Heuristics in the Loop—Evolving Smarter Agentic Workflows,ICML,2026,True,openreview
zheng-etal-2026-meddcr,MedDCR: Learning to Design Agentic Workflows for Medical Coding,Findings of ACL,2026,True,acl_anthology
Ding_2025,EvoVLMA: Evolutionary Vision-Language Model Adaptation,ACMMM,2025,True,doi
Liu_2024_CVPR,Language Models as Black-Box Optimizers for Vision-Language Models,CVPR,2024,True,cvf
lin2026can,Can Language Models Discover Scaling Laws?,ICLR,2026,True,openreview
zhang2025adaptive,Adaptive Self-improvement LLM Agentic System for ML Library Development,ICML,2025,True,openreview
zhao2024empowering,Empowering Large Language Model Agents through Action Learning,COLM,2024,True,openreview
wu2026transductive,Transductive Visual Programming: Evolving Tool Libraries from Experience for Spatial Reasoning,ICLR,2026,True,openreview
Huang2026meta,META: Meta Evolution of Tool Trajectory Adaptation for Long-Video Understanding,CVPR,2026,True,meta
ai-etal-2026-tooldna,ToolDNA: Autonomous Evolution of Tool Metadata for Robust Dialogue Agents,Findings of ACL,2026,True,acl_anthology
wang2024voyager,Voyager: An Open-Ended Embodied Agent with Large Language Models,Accepted by TMLR,2024,True,https://openreview.net/forum?id=ehfRiF0R3a
zhang-etal-2024-agent,Agent-Pro: Learning to Evolve via Policy-Level Reflection and Optimization,ACL,2024,True,acl_anthology
